Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
IMP 1114,David Bowie,The Thin White Duke,"Idle Mind Productions, Inc., Audiofön, Slipped Disc Records","2xLP, Unofficial",,1978,3610426,David Bowie,2019-01-15 14:32:00,,,
ID6021RC,U2,The Unforgettable Fire Collection,"Image Entertainment, RCA / Columbia Pictures Home Video, Island Records","Laserdisc, 12"", S/Sided, RE, NTSC, CLV",,1988,7333614,Uncategorized,2019-01-22 07:32:58,,,
47292,Paul Baloche,Glorious,Integrity Music,"CD, Album",,2009,6509570,Uncategorized,2017-02-07 13:15:55,,,
53289,Paul Baloche,Live,Integrity Music,"CD, Album, Ltd + DVD, Album, Ltd",,0,6509622,Uncategorized,2017-02-07 13:14:02,,,
KMCD3109,Robin Mark,All For Jesus : Songs And Hymns With Robin Mark,Integrity Music,2xCD,,2010,7904988,Uncategorized,2017-02-07 11:47:30,,,
76896-40001-2,David Bowie,Jump: The David Bowie Interactive CD-ROM,Ion (4),"CD, Enh, Mac",,1994,8049981,Uncategorized,2017-02-21 18:33:56,,,
76896-40004-2,David Bowie,Jump: The David Bowie Interactive CD-ROM,Ion (4),"CDi, Win",,1994,7954866,Uncategorized,2017-02-21 18:34:50,,,
085 556-3,U2,"Achtung Baby - The Videos, The Cameos And A Whole Lot Of Interference From ZooTV",Island Records,"VHS, PAL",,1992,374362,Uncategorized,2017-02-27 22:21:02,,,
12 IS 326-DJ,The Christians,Hooverville (And They Promised Us The World),Island Records,"12"", Promo",,1987,2387387,Uncategorized,2019-09-09 22:03:16,,,
203 481,Grace Jones,Nightclubbing,Island Records,"LP, Album",,1981,96049,Uncategorized,2019-01-18 18:54:56,,,
631 150-3,U2,ZooTV Live From Sydney,Island Records,"VHS, PAL",,1994,374365,Uncategorized,2017-02-27 22:29:30,,,
90279-1-A,U2,Wide Awake In America,Island Records,"12"", EP, Spe",,1985,13153238,Uncategorized,2019-09-10 16:11:48,,,
HASTA CD1,U2,Hasta La Vista Baby! U2 Live From Mexico City,Island Records,"CD, Comp, Club, Car",,2000,1380747,Uncategorized,2017-02-07 13:31:01,,,
ILPS 9592,Grace Jones,Warm Leatherette,Island Records,"LP, Album",,1980,11951134,Uncategorized,2019-01-18 18:39:27,,,
ILPS 9722,Grace Jones,Living My Life,Island Records,"LP, Album, Blu",,1982,3705348,Uncategorized,2019-01-18 18:57:06,,,
IRSP 4,Various,Club Ska '67,Island Records,"LP, Comp, Mono, RE",,1980,634581,Uncategorized,2019-01-21 23:11:01,,,
IS 240,Grace Jones,La Vie En Rose,Island Records,"7"", Single, RE",,1985,7798493,Uncategorized,2019-12-31 19:03:11,,,
IS 266,Grace Jones,Love Is The Drug,Island Records,"7"", Single",,1986,1059793,Uncategorized,2019-12-31 19:08:21,,,
IS 273,Grace Jones,"Private Life, My Jamaican Guy",Island Records,"7"", Single",,1986,1283164,Uncategorized,2019-12-31 19:12:44,,,
ISD 220,U2,The Unforgettable Fire,Island Records,"2x7"", EP, Single, Ltd, Gat",,1985,592885,Uncategorized,2020-01-03 23:21:43,,,
WIP 6244,Bob Marley & The Wailers,"No Woman, No Cry",Island Records,"7"", RP",,0,2385120,Uncategorized,2019-12-31 20:48:32,,,
WIP 6469,Third World,Cool Meditation,Island Records,"7""",,1978,742925,Uncategorized,2020-01-03 22:24:16,,,
WIP 6496,Third World,Talk To Me,Island Records,"7"", Single",,1979,1428041,Uncategorized,2020-01-03 22:23:18,,,
WIP 6563,Carlos Malcolm & The Afro Caribs / Desmond Dekker / The Skatalites,Bonanza Ska / Get Up Edina / Beardman Ska,Island Records,"7"", EP, Mono, RP",,1979,6536835,Uncategorized,2019-12-30 22:31:25,,,
WIP 6610,Bob Marley & The Wailers,Could You Be Loved,Island Records,"7"", Single",,1980,5269827,Uncategorized,2019-12-31 21:10:53,,,
WIP 6645,Grace Jones,The Hunter Gets Captured By The Game,Island Records,"7"", Single",,1980,1091782,Uncategorized,2019-12-31 19:05:32,,,
WIP 6653,Bob Marley & The Wailers,Redemption Song,Island Records,"7""",,1980,614420,Uncategorized,2019-12-31 20:49:57,,,
WIP 6673,Grace Jones,Demolition Man,Island Records,"7""",,1981,871529,Uncategorized,2019-12-31 19:04:18,,,
WIP.6173,Roxy Music,Street Life,Island Records,"7"", Single",,1973,479292,Uncategorized,2020-01-02 23:31:03,,,
"12 IS 499, 868 239-1",Screaming Target,Knowledge 'N' Numbers,"Island Records, Island Records","12""",,1991,216161,Uncategorized,2017-01-31 18:21:02,,,
"IMA3, IMA 3",U2,Under A Blood Red Sky (Live),"Island Records, Island Records","LP, MiniAlbum",,1983,4510081,Uncategorized,2019-01-21 22:54:02,,,
"KEANEBX1, ATLANTIC001",Keane,Atlantic,"Island Records, Island Records","7"", S/Sided, Num + Box, Ltd, Num",,2006,1957104,Uncategorized,2019-01-15 08:35:50,,,
"REAL U2, 864 197-1",U2,Even Better Than The Real Thing,"Island Records, Island Records","12"", Single, Ltd",,1992,57858,Uncategorized,2017-02-28 19:36:42,,,
"WIP.6196, WIP 6196",Bryan Ferry,The 'In' Crowd,"Island Records, Island Records","7"", Single",,1974,1554950,Uncategorized,2019-12-31 14:26:00,,,
"12 IST 649, 854 941-1, 12IST649",U2,Discothèque,"Island Records, Island Records, Island Records","3x12""",,1997,45958,Uncategorized,2017-02-28 18:55:25,,,
"12ISD780, 588748-1, 12 ISD 780, 588 748-1",U2,Beautiful Day & Elevation (Remixes),"Island Records, Island Records, Island Records, Island Records","2x12""",,2001,62617,Uncategorized,2017-02-28 18:53:36,,,
1796097,U2,No Line On The Horizon,"Island Records, Mercury Music Group, Universal","CD, Album + DVD-V + Box, Ltd",,2009,1670085,Uncategorized,2020-06-21 10:54:54,,,
IS 206,Grace Jones,Slave To The Rhythm,"Island Records, ZTT","7"", Single",,1985,376187,Uncategorized,2019-12-31 19:10:43,,,
088 162 3,U2,Numb,"Island Video, Polygram Video",VHS,,1993,416948,Uncategorized,2017-02-27 22:23:00,,,
"COL 512555 7, 5125557000",David Bowie,Reality,"ISO Records, Columbia, ISO Records, Columbia","Hybrid, DualDisc, Album, Multichannel, PAL",,2004,1310157,Uncategorized,2017-02-07 13:29:22,,,
88765 46192 2,David Bowie,The Next Day,"ISO Records, Columbia, Sony Music","CD, Album, Dlx, Dig",,2013,4355563,Uncategorized,2017-02-07 13:26:46,,,
88875173862,David Bowie,★ (Blackstar),"ISO Records, Columbia, Sony Music","CD, Album",,2016,7948015,Uncategorized,2017-02-07 15:08:55,,,
IZ010V,Duke Special,Freewheel,Izumi Records,"7"", Single, Ltd",,2007,1093301,Uncategorized,2019-12-31 13:37:40,,,
JAM 1,Various,Just A Gigolo - The Original Soundtrack,Jambo Records,"LP, Album",,1979,2744216,David Bowie,2017-02-28 17:44:38,,,
JIVE T 274,Kool Moe Dee Featuring KRS-One And Chuck D,Rise 'N' Shine,Jive,"12""",,1991,765918,Uncategorized,2019-09-17 21:04:25,,,
JIVE T 62,A Flock Of Seagulls,"The More You Live, The More You Love",Jive,"12"", Single",,1984,104934,Uncategorized,2019-09-09 22:33:38,,,
"JIVE T282, JIVE T 282",Liz Winstanley,Share Your Love,"Jive, Jive","12""",,1991,2043500,Uncategorized,2017-02-28 18:57:48,,,
12TOT 9,Genaside II,The Alchemist / Death Of The Kamikazee,Jumpin' & Pumpin',"12""",,1990,8904,Uncategorized,2019-09-22 22:02:21,,,
KWCD3275,Rend Collective,Homemade Worship By Handmade People,"Kingsway Communications, Ltd.","CD, Album",,2012,8795061,Uncategorized,2017-02-07 10:16:15,,,
KWCD3300,Delirious?,The Cutting Edge Years - 20th Anniversary Edition,Kingsway Music,"CD, Album, Comp, RE + CD, Album, Comp, RE + CD, Al",,2012,5962424,Uncategorized,2017-02-07 13:59:58,,,
