Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"7N 45067, 7N.45067",Arsenal FC,Good Old Arsenal,"Pye Records, Pye Records","7"", Single",,1971,4111167,Uncategorized,2019-12-30 21:13:58,,,
ADA 1,Nick Lowe,I Love The Sound Of Breaking Glass,Radar Records (5),"7"", Single, Sol",,1978,477364,Uncategorized,2019-12-31 20:12:34,,,
ADA 24,Elvis Costello & The Attractions,Radio Radio,Radar Records (5),"7"", Single",,1978,10408147,Uncategorized,2019-12-30 22:55:44,,,
RAD 56 597,Elvis Costello & The Attractions,Armed Forces,Radar Records (5),"LP, Album, Fol + 7"", EP",,1979,5995946,Uncategorized,2019-01-17 21:32:20,,,
TRAXT 3,Frankie Knuckles,Your Love / Baby Wants To Ride,"Radical Records (5), Trax Records","12""",,1989,64539,Uncategorized,2019-09-17 21:02:01,,,
RR 1,The Animals,The House Of The Rising Sun,RAK,"7"", Single, 4-P",,1972,9691038,Uncategorized,2019-12-30 10:46:06,,,
12 RBASS 003,Psychotropic,Only For The Headstrong,Raw Bass,"12""",,1990,84888,Uncategorized,2017-02-15 20:33:17,,,
45-RCA 1207,Elvis Presley,It's Now Or Never (O Sole Mio),RCA,"7""",,1960,3789266,Uncategorized,2020-01-02 23:12:24,,,
45-RCA 1216,Elvis Presley With The Jordanaires,Are You Lonesome Tonight?,RCA,"7"", Single",,1960,13165011,Uncategorized,2020-01-02 23:18:38,,,
45-RCA 1258,Elvis Presley,(Marie's The Name) His Latest Flame,RCA,"7"", Single",,1961,6710350,Uncategorized,2020-01-02 23:23:04,,,
74321 30703-2,David Bowie,The Hearts Filthy Lesson,RCA,"CD, Single",,1995,517462,Uncategorized,2017-05-30 12:23:14,,,
APL2-0771,David Bowie,David Live,RCA,"2xLP, Album, RE, Bla",,1983,2320987,David Bowie,2017-01-31 23:57:02,,,
BOW 11,David Bowie,David Bowie In Bertolt Brecht's Baal,RCA,"7"", EP, Sem",,1982,7876477,David Bowie,2019-01-15 08:09:56,,,
BOWT 12,David Bowie & Bing Crosby,Peace On Earth / Little Drummer Boy,RCA,"12"", Single, Mono, Ltd",,1982,1624358,David Bowie,2017-02-02 08:06:08,,,
LSP-4813,David Bowie,Space Oddity,RCA,"LP, Album, RE",,1980,2918817,David Bowie,2017-01-31 19:01:52,,,
NL 13856,David Bowie,Low,RCA,"LP, Album, RE",,1980,5029922,David Bowie,2017-02-28 17:40:33,,,
PB 40535,Clannad,In A Lifetime,RCA,"7"", Single, Pap",,1986,1883811,Uncategorized,2019-12-30 22:35:29,,,
PB49171,Garland Jeffreys,Hail Hail Rock 'N' Roll,RCA,"7"", Single",,1991,2127008,Uncategorized,2019-12-31 18:53:59,,,
PB8714,David Bowie,Scary Monsters,RCA,"7"", Single",,1981,2147438,David Bowie,2019-01-14 22:33:46,,,
PD 83890,David Bowie,Aladdin Sane,RCA,"CD, Album, RE",,1984,1025961,Uncategorized,2019-01-20 14:45:25,,,
PL 45406,David Bowie,Rare,RCA,"LP, Comp",,1982,1496372,David Bowie,2017-02-01 08:08:21,,,
PL 81732,David Bowie,ChangesOneBowie,RCA,"LP, Comp, RE",,1983,1064963,David Bowie,2017-01-31 23:49:24,,,
PL 84862 (2),David Bowie,Ziggy Stardust - The Motion Picture,RCA,"2xLP, Album, Gat",,1983,1595042,David Bowie,2019-01-15 14:27:22,,,
PT 43738,Pop Will Eat Itself,Touched By The Hand Of Cicciolina (Replay),RCA,"12""",,1990,137127,Uncategorized,2017-01-31 08:05:24,,,
PT 43846,Gary Clail & On-U Sound System Featuring Bim Sherman And African Head Charge,Beef (Adrian Sherwood's Remix Of The Remix),RCA,"12""",,1990,55986,Uncategorized,2019-09-16 21:19:29,,,
PT 44998,Level 42,Overtime,RCA,"12"", Single",,1991,2454167,Uncategorized,2019-09-09 22:50:33,,,
PT44556,Pop Will Eat Itself,92° F / The Incredible PWEI Vs Dirty Harry,RCA,"12"", Single",,1991,99641,Uncategorized,2017-01-31 08:07:46,,,
RCA 2263,David Bowie,"John, I'm Only Dancing",RCA,"7"", Single",,0,7982498,David Bowie,2019-01-14 23:14:33,,,
NL 13889,David Bowie,Diamond Dogs,RCA International,"LP, Album, RE",,1981,4718234,David Bowie,2017-02-28 17:42:50,,,
"INTS 5063, NL 13843",David Bowie,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,"RCA International, RCA International","LP, Album, RE",,1980,5377358,David Bowie,2017-01-31 19:04:53,,,
"INTS 5064, NL 13844",David Bowie,Hunky Dory,"RCA International, RCA International","LP, Album, RE",,1980,395704,David Bowie,2017-02-01 07:42:50,,,
"INTS 5066, NL 13857",David Bowie,"""Heroes""","RCA International, RCA International","LP, Album, RE",,1981,501407,David Bowie,2019-01-15 14:40:03,,,
"INTS 5068, NL 13889",David Bowie,Diamond Dogs,"RCA International, RCA International","LP, Album, RE",,1981,438818,David Bowie,2017-02-01 07:45:30,,,
APB0-0293,David Bowie,Diamond Dogs,RCA Victor,"7"", Single, Can",,1974,926850,David Bowie,2019-01-14 22:11:53,,,
PB 1165,Elvis Presley,My Way,RCA Victor,"7"", Single, Sol",,1977,5239513,Uncategorized,2020-01-02 22:37:35,,,
PB 5018,R & J Stone,It Just Goes To Show,RCA Victor,"7""",,1977,2363164,Uncategorized,2020-01-02 23:29:37,,,
PB 9510,David Bowie,Alabama Song,RCA Victor,"7"", Single",,1980,1925384,David Bowie,2019-01-14 23:35:48,,,
PL 02913(2),David Bowie,Stage,RCA Victor,"2xLP, Album, Gat",,1978,3520377,David Bowie,2017-02-02 19:35:43,,,
RCA 1355,Elvis Presley With The Jordanaires,(You're The) Devil In Disguise,RCA Victor,"7"", Single",,1963,553780,Uncategorized,2020-01-02 22:40:08,,,
RCA 1557,Elvis Presley,If Every Day Was Like Christmas,RCA Victor,"7"", Single",,1966,6866449,Uncategorized,2020-01-02 23:16:18,,,
RCA 1900,Elvis Presley,Suspicious Minds,RCA Victor,"7"", Single",,1969,553766,Uncategorized,2020-01-02 22:48:45,,,
RCA 2104,Elvis Presley,Heartbreak Hotel,RCA Victor,"7"", Single, Mono, Sol",,1971,10804126,Uncategorized,2020-01-02 22:33:07,,,
RCA 2158,Elvis Presley,I Just Can't Help Believin',RCA Victor,"7"", Single, Pus",,1971,5295615,Uncategorized,2020-01-02 23:07:47,,,
RCA 2199,David Bowie,Starman,RCA Victor,"7"", Single, Pus",,1972,6659857,David Bowie,2019-01-14 23:16:42,,,
RCA 2302,David Bowie,The Jean Genie,RCA Victor,"7"", Single, Kno",,1972,8945377,David Bowie,2019-01-14 23:11:21,,,
RCA 2316,David Bowie,Life On Mars?,RCA Victor,"7"", Single, Pus",,1973,7686790,David Bowie,2019-01-14 23:09:22,,,
RCA 2466,David Bowie,Knock On Wood,RCA Victor,"7"", Single, 4-P",,1974,8627213,David Bowie,2019-01-15 07:59:33,,,
RCA 2523,David Bowie,Young Americans,RCA Victor,"7"", Single, Bro",,1975,6223632,David Bowie,2019-01-14 22:16:00,,,
RCA 2579,David Bowie,Fame,RCA Victor,"7"", Single, Sol",,1975,7322487,David Bowie,2019-01-14 22:14:01,,,
RCA 2593,David Bowie,Space Oddity / Changes / Velvet Goldmine,RCA Victor,"7"", EP, 4-p",,1975,443348,David Bowie,2019-01-14 21:33:57,,,
RCA 2682,David Bowie,TVC 15,RCA Victor,"7"", Single",,1976,1002540,David Bowie,2019-01-14 21:36:42,,,
RCA 2707,Elvis Presley, (You're The) Devil In Disguise,RCA Victor,"7"", Single, RE",,1977,5413178,Uncategorized,2017-02-09 23:54:33,,,
RCA 2726,David Bowie,Suffragette City b/w Stay,RCA Victor,"7"", Single",,1976,1732988,David Bowie,2019-01-14 21:35:24,,,
RCA-1207,Elvis Presley,It's Now Or Never (O Sole Mio) / Make Me Know It,RCA Victor,"7"", Single, pus",,1960,8075434,Uncategorized,2020-01-02 23:21:19,,,
"BOW 1, PB 9337",David Bowie,Breaking Glass,"RCA Victor, RCA Victor","7"", Single, Promo",,1978,4687587,David Bowie,2019-01-15 07:56:10,,,
"BOW 2, PB 1585 (PB11585)",David Bowie,Boys Keep Swinging,"RCA Victor, RCA Victor","7"", Single, Pus",,1979,700893,David Bowie,2019-01-15 07:55:03,,,
"BOW 9, PB 9671",David Bowie,Up The Hill Backwards,"RCA Victor, RCA Victor","7"", Single, Ora",,1981,583493,David Bowie,2019-01-14 23:22:15,,,
"BOW LP 1, PL 13254",David Bowie,Lodger,"RCA Victor, RCA Victor","LP, Album, Gat",,1979,216167,David Bowie,2017-02-28 17:25:17,,,
"PB 1017, PB 11017",David Bowie,Be My Wife,"RCA Victor, RCA Victor","7"", Single",,1977,748473,David Bowie,2019-01-15 07:58:51,,,
"PB 1190, PB 11190",David Bowie,Beauty And The Beast,"RCA Victor, RCA Victor","7"", Single",,1978,748359,David Bowie,2019-01-15 07:57:31,,,
"RCA 2640, PB 10441",David Bowie,Golden Years,"RCA Victor, RCA Victor","7"", Single",,1975,8919633,David Bowie,2019-01-14 22:12:49,,,
"RCA 2700, RCA 1226",Elvis Presley,Wooden Heart,"RCA Victor, RCA Victor","7"", RE",,1977,8315716,Uncategorized,2020-01-02 22:18:37,,,
"RCA 2701, RCA 1227",Elvis Presley With The Jordanaires,Surrender (Torna A Surriento),"RCA Victor, RCA Victor","7"", RE",,1977,2214907,Uncategorized,2020-01-02 22:23:22,,,
"RCA 2704, (RCA 1280)",Elvis Presley With The Jordanaires,Good Luck Charm,"RCA Victor, RCA Victor","7"", Single, RE",,1977,2214921,Uncategorized,2020-01-02 22:20:56,,,
"RCA 2705, RCA 1303",Elvis Presley With The Jordanaires,She's Not You / Just Tell Her Jim Said Hello,"RCA Victor, RCA Victor","7"", Single, RE",,1978,4594879,Uncategorized,2020-01-02 22:14:05,,,
"RCA 2709, 47-9835",Elvis Presley,The Wonder Of You,"RCA Victor, RCA Victor","7"", Single, RE",,1977,2156016,Uncategorized,2020-01-02 22:11:02,,,
"RS : 1.003, RS 1003",David Bowie,Pinups,"RCA Victor, RCA Victor","LP, Album, RE",,0,7816981,David Bowie,2017-02-02 19:33:11,,,
"BOW 3, PB 9412, AQL1 3254",David Bowie,DJ,"RCA Victor, RCA Victor, RCA Victor","7"", Single",,1979,1002898,David Bowie,2019-01-15 07:54:28,,,
"PB 9265, 447.0608",Elvis Presley,Don't Be Cruel,"RCA Victor, RCA, RCA Victor, RCA","7"", Single, RE",,1978,551732,Uncategorized,2020-01-02 22:26:49,,,
74321 3 13901 2,David Bowie,The Hearts Filthy Lesson,"RCA, BMG","12"", Pic",,1995,82711,David Bowie,2017-02-28 18:47:05,,,
74321475841,David Bowie,Dead Man Walking,"RCA, BMG","12""",,1997,965369,David Bowie,2017-02-28 17:49:26,,,
"BOW 10, PB 9815",David Bowie,Wild Is The Wind,"RCA, RCA","7"", Single",,1981,423017,David Bowie,2019-01-15 08:31:23,,,
"BOW 12, PB 13400",David Bowie & Bing Crosby,Peace On Earth / Little Drummer Boy,"RCA, RCA","7"", Single, Mono, 4-P",,1982,432020,David Bowie,2019-01-15 08:05:59,,,
"BOW 4, PB 9482",David Bowie,"John, I'm Only Dancing (Again) (1975) / John, I'm Only Dancing (1972)","RCA, RCA","7"", Single, Pus",,1979,5578018,David Bowie,2019-01-14 23:21:09,,,
"BOW 4, PB 9482",David Bowie,"John, I'm Only Dancing (Again) (1975) / John, I'm Only Dancing (1972)","RCA, RCA","7"", Single, Pus",,1979,5578018,David Bowie,2019-01-15 07:53:52,,,
"BOW 7, PB 9622",David Bowie,Fashion,"RCA, RCA","7"", Single, Juk",,1980,4356971,David Bowie,2019-01-14 22:36:06,,,
"BOW 8, PB 9654",David Bowie,Scary Monsters (And Super Creeps),"RCA, RCA","7"", Single, Pap",,1981,2677042,David Bowie,2019-01-14 22:34:38,,,
"BOW LP 2, PL 13647",David Bowie,Scary Monsters,"RCA, RCA","LP, Album",,1980,423056,David Bowie,2017-02-01 07:53:14,,,
"BOW T 10, PC 9815",David Bowie,Wild Is The Wind,"RCA, RCA","12"", Single",,1981,589142,David Bowie,2017-02-02 08:07:06,,,
"RCA 314, PB 68047",Bow Wow Wow,Do You Wanna Hold Me?,"RCA, RCA","7"", Single",,1983,417475,Uncategorized,2019-12-30 22:18:19,,,
"RCA 372, PB 13660",David Bowie,White Light/White Heat,"RCA, RCA","7"", Single",,1983,896856,David Bowie,2019-01-14 22:32:28,,,
"RCA 373, PB 68119",Slade,My Oh My,"RCA, RCA","7"", Ltd, Uto",,1983,389873,Uncategorized,2020-01-03 19:48:53,,,
"RCA 58, PB 5341",Sugar Minott / Desi Roots,Good Thing Going (We've Got A Good Thing Going) / Hung Up,"RCA, RCA","7"", Single, A L",,1981,1253423,Uncategorized,2019-12-31 21:26:25,,,
PB 9575,David Bowie,Ashes To Ashes,"RCA, RCA Victor","7"", Single",,1980,1624915,David Bowie,2019-01-14 23:34:21,,,
"45-RCX 7106, RCX-7106, EPA-4371",Elvis Presley With The Jordanaires,Kid Galahad,"RCA, RCA Victor, RCA, RCA Victor, RCA, RCA Victor","7"", EP",,1963,8172676,Uncategorized,2020-01-02 22:07:27,,,
"BOW LP3, BOWLP 3, PL 14202",David Bowie,ChangesTwoBowie,"RCA, RCA, RCA","LP, Comp",,1981,9204203,David Bowie,2017-02-01 07:56:08,,,
"BOW6, BOW 6, PB 9575",David Bowie,Ashes To Ashes,"RCA, RCA, RCA","7"", Single, Pus",,1980,1990541,David Bowie,2019-01-14 23:31:53,,,
"BOW6, BOW 6, PB 9575",David Bowie,Ashes To Ashes,"RCA, RCA, RCA","7"", Single, Pus",,1980,1990541,David Bowie,2019-01-14 23:31:56,,,
"BOW6, BOW 6, PB 9575",David Bowie,Ashes To Ashes,"RCA, RCA, RCA","7"", Single, Sol",,1980,8785717,David Bowie,2019-01-14 23:33:00,,,
"RCA LP 3009, RCALP 3009, RS 1006",David Bowie,Young Americans,"RCA, RCA, RCA","LP, Album, RE",,1981,530471,David Bowie,2017-01-31 23:52:26,,,
"APL 1-1327, 26.21611",David Bowie,Station To Station,"RCA, RCA, RCA Victor, RCA Victor","LP, Album, RE, RP, Ora",,1979,4911807,David Bowie,2019-01-15 14:04:17,,,
LYN 2929,David Bowie,The Record Mirror Flexi Disc,"Record Mirror, Popswop","Flexi, 7"", S/Sided",,1974,1714272,David Bowie,2019-01-14 23:12:45,,,
R2R11,Duke Special,Little Revolutions Two,Reel To Reel,"CD, Comp",,2010,8283457,Uncategorized,2017-02-07 10:12:14,,,
SPAN 2 ,Spandau Ballet,Coffee Club (Re-mix) / Instinction (Re-mix),Reformation,"12"", Num, Promo",,1982,7614343,Uncategorized,2017-02-02 19:12:36,,,
CHS 12 2585,Spandau Ballet,She Loved Like Diamond,"Reformation, Chrysalis","12"", Single",,1982,956205,Uncategorized,2017-02-02 19:09:26,,,
CHS 2642,Spandau Ballet,Lifeline,"Reformation, Chrysalis","7"", Blu",,1982,10082964,Uncategorized,2020-01-03 21:18:38,,,
9362-48683-2,Michael Bublé,Come Fly With Me,"Reprise Records, 143 Records","CD, Album + DVD-V, PAL",,2004,4277294,Uncategorized,2018-02-13 09:48:57,,,
9362-49444-2,Michael Bublé,Caught In The Act,"Reprise Records, 143 Records, Warner Reprise Video","CD, Album + DVD-V, Album, NTSC",,2005,1589787,Uncategorized,2018-02-13 09:47:44,,,
LIC 160,Joey Negro Presents Phase II,Reachin',Republic Records (2),"7""",,1991,4980414,Uncategorized,2019-12-31 21:34:13,,,
REST 73767,Ennio Morricone,Once Upon A Time In America (Music From The Motion Picture) Special Edition,Restless Records,"CD, Album, RE, RM, S/Edition",,1998,1481423,Uncategorized,2017-02-07 15:05:31,,,
SEXY 02TR,S'Express,"Find 'Em, Fool 'Em, Forget 'Em",Rhythm King Records,"12""",,1991,354810,Uncategorized,2017-02-07 08:12:39,,,
12 RIT 1,A Man Called Adam,Musica De Amor,Ritmo Recordings,"12""",,1989,1405337,Uncategorized,2019-09-15 21:39:40,,,
RH 105,Latin Quarter,No Rope As Long As Time / Radio Africa,"Rockin' Horse Records, Arista","2x7"", Single, Ltd",,1985,1189310,Uncategorized,2019-12-31 19:29:22,,,
ROUGH 76,The Smiths,Hatful Of Hollow,Rough Trade,"LP, Comp, Gar",,1984,382135,Uncategorized,2019-01-21 22:06:36,,,
RT 136,The Smiths,This Charming Man,Rough Trade,"7"", Single, Pus",,1983,452928,Uncategorized,2020-01-03 20:18:02,,,
RT 156,The Smiths,Heaven Knows I'm Miserable Now,Rough Trade,"7"", Single, Sol",,1984,5724052,Uncategorized,2020-01-03 19:58:37,,,
RT 166,The Smiths,"William, It Was Really Nothing",Rough Trade,"7"", Single, Kno",,1984,666999,Uncategorized,2020-01-03 20:00:05,,,
RT 176,The Smiths,How Soon Is Now?,Rough Trade,"7"", Single, Lyn",,1985,7430534,Uncategorized,2020-01-03 20:01:37,,,
RT 181,The Smiths,Shakespeare's Sister,Rough Trade,"7"", Single, Sin",,1985,9743449,Uncategorized,2020-01-03 20:14:38,,,
RT 186,The Smiths,That Joke Isn't Funny Anymore,Rough Trade,"7"", Single, Pus",,1985,525791,Uncategorized,2020-01-03 19:51:41,,,
RT 192,The Smiths,Bigmouth Strikes Again,Rough Trade,"7"", Single, EMI",,1986,495336,Uncategorized,2020-01-03 19:53:00,,,
RT 193,The Smiths,Panic,Rough Trade,"7"", Single, MPO",,1986,5095931,Uncategorized,2020-01-03 19:54:36,,,
RT 194,The Smiths,Ask,Rough Trade,"7"", Single, MPO",,1986,525785,Uncategorized,2020-01-03 20:20:51,,,
RT 195,The Smiths,Shoplifters Of The World Unite,Rough Trade,"7"", Single, Pus",,1987,7829819,Uncategorized,2020-01-03 20:22:34,,,
RT 196,The Smiths,Sheila Take A Bow,Rough Trade,"7"", Single, MPO",,1987,5805374,Uncategorized,2020-01-03 20:25:16,,,
RT 197,The Smiths,Girlfriend In A Coma,Rough Trade,"7"", Single, EMI",,1987,4501432,Uncategorized,2020-01-03 20:26:32,,,
RT 198,The Smiths,I Started Something I Couldn't Finish,Rough Trade,"7"", Single, MPO",,1987,9816217,Uncategorized,2020-01-03 20:28:25,,,
RT 200,The Smiths,Last Night I Dreamt That Somebody Loved Me,Rough Trade,"7"", Single, EMI",,1987,6500039,Uncategorized,2020-01-03 20:29:36,,,
RT 015,Stiff Little Fingers,Gotta Gettaway,"Rough Trade, Rigid Digits","7"", Single",,1979,10056667,Uncategorized,2020-01-03 21:59:05,,,
"RT 146, RT146",The Smiths,What Difference Does It Make?,"Rough Trade, Rough Trade","7"", Single, Pus",,1984,1464174,Uncategorized,2020-01-03 19:56:14,,,
RTD 176.1554.0,Fruits Of The Paradise,"Mmmmmh, You Make Me Sweat!",Roughmix,"12""",,1993,215427,Uncategorized,2019-09-22 22:11:58,,,
RUMAT 19,Orchestra JB,Free Spirit (Slow Burn),Rumour Records,"12""",,1990,133134,Uncategorized,2019-09-23 17:03:27,,,
RUMAT 24,Hi Power,Simba Groove / Cult Of Snap,Rumour Records,"12""",,1990,130097,Uncategorized,2019-09-22 21:48:30,,,
RUMAT 29,FPI Project,Everybody (All Over The World),Rumour Records,"12""",,1991,87776,Uncategorized,2019-09-22 22:19:32,,,
RUMAT 30,Orchestra JB,Come Alive,Rumour Records,"12""",,1991,738284,Uncategorized,2019-09-23 17:04:01,,,
RUMAX 29,FPI Project,Everybody (All Over The World) (The Chameleon Remixes),Rumour Records,"12""",,1991,234694,Uncategorized,2019-09-22 22:19:07,,,
RUMAX 33 ,Nomad,Just A Groove ,Rumour Records,"12"", Promo",,1991,6194467,Uncategorized,2019-09-23 17:13:56,,,
014431014529,David Bowie,Bowie Tech Unit,Rykodisc,"Box, Comp, Ltd, Met + CD, Album, RE, RM + CD, Albu",,1991,5851067,Uncategorized,2019-01-14 21:42:49,,,
RCD 90120/21/22,David Bowie,Sound + Vision,Rykodisc,"3xCD, Comp + CDV, 5"", EP, NTSC + Box",,1989,1042699,Uncategorized,2019-01-15 14:44:00,,,
"RR12SAV 106, RR 12SAV 106",Soho (2),Hippychick (Remix),"S And M, S And M","12"", Ltd",,1990,230890,Uncategorized,2017-01-31 18:33:23,,,
SLT008,Various,The Flavor Saver EP Vol. 1,Salted Music,"12"", EP",,2006,763218,Uncategorized,2019-09-23 17:19:19,,,
12SBKDJ 7011,Freestyle Orchestra Featuring D'Bora,Keep On Pumpin' It Up,SBK One,"12"", Promo",,1990,113281,Uncategorized,2019-09-22 22:13:08,,,
12SBK 32,2 In A Room,Do What You Want (C+C Music Factory & David Morales Remixes),SBK Records,"12""",,1991,1941418,Uncategorized,2017-02-28 19:33:29,,,
12SBK 7010,Foremost Poets,Reasons To Be Dismal ?,SBK Records,"12""",,1990,66311,Uncategorized,2019-09-22 22:24:38,,,
WTST 2,11:59,3.AM,Scream,"12"", Promo",,1990,1891388,Uncategorized,2019-09-16 22:00:41,,,
"WTSTDJ6, WTST DJ6",The Love-In,Goo Goo Barabajagal,"Scream, Scream","12"", Promo",,1991,1225500,Uncategorized,2019-09-17 21:26:18,,,
CYM 1,The Manish Boys / David Bowie With The Lower Third,The Manish Boys / Davy Jones & The Lower 3rd,"See For Miles Records Ltd., Charly Records","10"", EP, Comp, Mono, RE",,1982,1186892,Uncategorized,2019-01-15 15:09:10,,,
941 001,Sex Pistols,Never Mind The Bollocks Here's The Sex Pistols,Sex Pistols Records,"LP, Album",,1977,900650,Uncategorized,2019-01-21 21:44:07,,,
"740 509, 740.509",Sid Vicious,Sid Vicious' Heritage,"Sex Pistols Records, Sex Pistols Records","12"", Maxi, Mono",,1979,1690221,Uncategorized,2017-01-31 18:14:03,,,
SHA 001,21 Guns (2),21 Guns,Shack Records (2),"7"", Single",,1981,1075225,Uncategorized,2020-01-03 22:42:36,,,
SHELF 1,Tottenham Hotspur,Ossie's Dream...,Shelf,"7""",,1981,4919685,Uncategorized,2020-01-03 22:29:16,,,
SUAD 16,The Ragga Twins,Hooligan 69,Shut Up And Dance Records,"12"", Promo",,1991,1556962,Uncategorized,2017-02-15 21:05:04,,,
SUAD 3,Shut Up & Dance,Twenty Pounds To Get In,Shut Up And Dance Records,"12"", Single",,1990,70413,Uncategorized,2017-01-31 18:43:20,,,
SIR 4010,The Undertones,Get Over You,Sire,"7"", Single, Sir",,1979,4136868,Uncategorized,2020-01-03 22:57:08,,,
SIR 4015,The Undertones,Jimmy Jimmy,Sire,"7""",,1979,2629718,Uncategorized,2020-01-03 22:59:43,,,
SIR 4022,The Undertones,Here Comes The Summer,Sire,"7"", Single",,1979,1183030,Uncategorized,2020-01-03 23:00:36,,,
SIR 4024,The Undertones,You've Got My Number < Why Don't You Use It! >,Sire,"7"", Single",,1979,916163,Uncategorized,2020-01-03 23:01:43,,,
SRK 6081,The Undertones,The Undertones,Sire,"LP, Album, RE",,1979,371203,Uncategorized,2019-01-21 22:48:34,,,
SRNCV 141,Pete Wylie & Wah! The Mongrel,Don't Lose Your Dreams...,Siren (3),"12""",,1991,907919,Uncategorized,2017-02-28 19:18:11,,,
SRNDM 136,The Mock Turtles,Can You Dig It? (Steve Proctor Remix),Siren (3),"12"", Single",,1991,215589,Uncategorized,2019-09-23 16:30:44,,,
SRNDR 141,Pete Wylie & Wah! The Mongrel,Don't Lose Your Dreams,Siren (3),"12""",,1991,633009,Uncategorized,2017-02-28 19:17:04,,,
SRNT 135,Sonny Southon,I Don't Come Any Other Way,Siren (3),"12""",,1991,2468649,Uncategorized,2017-02-02 19:08:03,,,
SRNT 138,Pete Wylie,Sinful!,Siren (3),"12"", Promo, W/Lbl",,1991,1778978,Uncategorized,2017-02-28 19:52:38,,,
SRNT 141,Pete Wylie & Wah! The Mongrel,Don't Lose Your Dreams (The Cabaret Voltaire Mixes),Siren (3),"12""",,1991,140283,Uncategorized,2017-02-28 19:18:56,,,
SRNT 143,Pete Wylie & Wah! The Mongrel,Long Tall Scally ... And The Good Guys Don't Die,Siren (3),"12"", Single",,1991,1137829,Uncategorized,2017-02-28 19:54:38,,,
SRNTX 138 DJ,Pete Wylie & The Farm,Sinful!,Siren (3),"12"", Promo, W/Lbl",,0,1463772,Uncategorized,2017-02-28 18:59:31,,,
"SRNT 143, SRNT 136",Pete Wylie & Wah! The Mongrel / The Mock Turtles,Long Tall Scally / Lose Yourself / Lay Me Down,"Siren (3), Siren (3)","12"", W/Lbl",,1991,1681895,Uncategorized,2017-02-28 19:17:36,,,
"SRNT 144, SRNT144, 614709",The Mock Turtles,Strings And Flowers,"Siren (3), Siren (3), Siren (3)","12"", Single",,1991,435560,Uncategorized,2019-09-23 16:30:05,,,
SBUK 22T,Solid Posse,Unity Rap,Sleeping Bag Records,"12""",,1990,128676,Uncategorized,2017-02-02 19:23:24,,,
BZLP 2,Soft Cell,Non-Stop Erotic Cabaret,Some Bizzare,"LP, Album",,1981,238877,Uncategorized,2019-01-21 22:08:33,,,
BZS 11,Soft Cell,What!,Some Bizzare,"7"", Single, RP, Blu",,1982,2274711,Uncategorized,2020-01-03 21:06:44,,,
BZS 16,Soft Cell,Where The Heart Is,Some Bizzare,"7"", Single, Sil",,1982,3503506,Uncategorized,2020-01-03 21:09:44,,,
BZS 2,Soft Cell,Tainted Love / Where Did Our Love Go,Some Bizzare,"7"", Single, Blu",,1981,4705498,Uncategorized,2020-01-03 20:50:41,,,
BZS 6,Soft Cell,Bedsitter,Some Bizzare,"7"", Single, Blu",,1981,56313,Uncategorized,2020-01-03 20:53:38,,,
BZS 9,Soft Cell,Torch,Some Bizzare,"7"", Single, Pap",,1982,2242266,Uncategorized,2020-01-03 20:55:22,,,
BZX 1012,Soft Cell,Non Stop Ecstatic Dancing,Some Bizzare,"LP, Album",,1982,138177,Uncategorized,2019-01-21 22:10:26,,,
CEL BX 1,Soft Cell,The Twelve Inch Singles / Soft Cell Box Set,Some Bizzare,"Box, Comp + 6x12""",,1982,883260,Uncategorized,2017-01-31 08:02:02,,,
"BIZL3, APART12",Soft Cell,The Art Of Falling Apart,"Some Bizzare, Some Bizzare","LP, Album + 12"", Single + Ltd",,1983,75584,Uncategorized,2019-01-21 22:12:15,,,
"BZS5 12, S.B.L. BZS5 12",Marc And The Mambas,"Fun City / Sleaze (Take It, Shake It)","Some Bizzare, Some Bizzare","12""",,1982,1036076,Uncategorized,2019-09-09 22:59:10,,,
SON 2090,The Dreadnaughts,Al Capone '76,Sonet,"7"", Single",,1976,3587966,Uncategorized,2019-12-31 13:30:13,,,
3752118,Arcade Fire,Reflektor,Sonovox Records,"2xCD, Album, Gat",,2013,5033774,Uncategorized,2017-02-07 15:19:59,,,
SR9001,The Source (7) Featuring Candi Staton,You Got The Love,Source Records (3),"12""",,1986,304209,Uncategorized,2017-02-02 19:22:22,,,
"STAT 27, 2088 035",The Rubettes,Under One Roof,"State Records (3), State Records (3)","7"", Single, Sol",,1976,10580815,Uncategorized,2020-01-02 23:53:43,,,
"STAT 44, 2088 060",The Rubettes,Ladies Of Laredo,"State Records (3), State Records (3)","7"", Single",,1977,1697467,Uncategorized,2020-01-02 23:51:07,,,
640 192,Madness,Night Boat To Cairo / Swan Lake,Stiff Records,"7""",,1979,11023403,Uncategorized,2019-12-31 20:22:49,,,
740 522,Madness,One Step Beyond...,Stiff Records,"12"", Maxi",,1979,1188958,Uncategorized,2019-09-09 22:53:26,,,
BUY 102,Madness,Embarrassment  ,Stiff Records,"7"", Single, Pin",,1980,1511725,Uncategorized,2019-12-31 20:27:25,,,
BUY 108,Madness,The Return Of The Los Palmas 7,Stiff Records,"7"", Single",,1981,442438,Uncategorized,2019-12-31 20:28:27,,,
BUY 108,Madness,The Return Of The Los Palmas 7,Stiff Records,"7"", Single",,1981,1919795,Uncategorized,2019-12-31 20:30:15,,,
